United States COVID-19 Cases and Deaths by State
Date generated: Sat Dec 12 2020 20:42:20 GMT-0800 (Pacific Standard Time)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,Case Rate per 100000 in Last 7 Days,Death Rate per 100K in Last 7 Days
Alaska,38584,null,null,4543,5232,157,null,null,16,21,88,0.3
Alabama,288775,237879,50896,24576,5908,4086,3612,474,255,83,71.8,0.8
Arkansas,181624,null,null,14487,6026,2875,null,null,289,95,68.7,1.4
American Samoa,3,null,null,0,5,0,null,null,0,0,0,0
Arizona,394512,379951,14561,42411,5501,7245,6689,556,360,101,84.5,0.7
California,1485703,null,null,199146,3756,20622,null,null,1040,52,71.9,0.4
Colorado,281673,269963,11710,29451,4946,3846,3283,563,509,67,73.9,1.3
Connecticut,146761,137791,8970,19046,4108,5363,4332,1031,217,150,76.2,0.9
District of Columbia,24357,null,null,1877,3467,709,null,null,16,100,38.2,0.3
Delaware,44876,43157,1719,6478,4640,815,718,97,33,84,95.7,0.5
Florida,1087956,null,null,65602,5108,19714,null,null,720,92,44,0.5
Federated States of Micronesia,4,4,0,4,4,0,null,null,0,0,0.6,0
Georgia,531593,466904,64689,37239,5053,10031,9175,856,306,95,50.6,0.4
Guam,7079,null,null,120,4270,115,null,null,2,69,10.3,0.2
Hawaii,18665,null,null,607,1314,267,null,null,13,18,6.1,0.1
Iowa,253601,null,null,13280,8035,3197,null,null,592,101,60.1,2.7
Idaho,119610,100082,19528,11244,6818,1151,1036,115,119,65,91.6,1
Illinois,832951,832951,0,62863,6538,15067,14050,1017,1285,118,70.5,1.4
Indiana,412135,null,null,44806,6159,6673,6373,300,551,99,95.7,1.2
Kansas,185294,158086,27208,17090,6364,2072,null,null,286,71,83.9,1.4
Kentucky,217120,178047,39073,22927,4859,2168,2052,116,129,48,73.3,0.4
Louisiana,264191,null,null,17014,5669,6767,6465,302,219,145,52.2,0.7
Massachusetts,279825,269929,9896,32473,4054,11218,11010,208,336,162,67.2,0.7
Maryland,232009,null,null,19625,3840,5100,4937,163,280,84,46.4,0.7
Maine,15619,13687,1932,2492,1167,257,253,4,30,19,26.6,0.3
Michigan,460346,426294,34052,40078,4610,10965,10456,509,848,109,57.3,1.2
Minnesota,370968,null,null,31995,6611,4351,4186,165,447,77,81.5,1.1
Missouri,338604,null,null,25183,5527,4481,null,null,359,73,58.7,0.8
Northern Mariana Islands,113,113,0,7,0,2,2,0,0,3,1.8,0
Mississippi,177947,132930,45017,14489,5958,4180,3519,661,231,139,69.3,1.1
Montana,71870,71870,0,5434,6766,805,805,0,78,75,73.1,1.1
North Carolina,423623,394742,28881,41089,4080,5752,5528,224,285,55,56.5,0.4
North Dakota,87590,85532,2058,5086,11524,1152,null,null,145,151,95.6,2.7
Nebraska,146877,null,null,10552,7613,1343,null,null,157,69,78.1,1.2
New Hampshire,29460,null,null,5770,2172,590,null,null,38,43,60.8,0.4
New Jersey,390256,null,null,33594,4381,17662,15794,1868,407,198,53.9,0.7
New Mexico,116565,null,null,11630,5563,1889,null,null,183,90,79.3,1.3
Nevada,181310,null,null,18876,5975,2479,null,null,207,81,88.9,1
New York,406146,null,null,45432,3645,10669,null,null,452,95,58.2,0.6
New York City,358538,324183,34355,24321,4269,24467,19754,4713,126,291,41.4,0.2
Ohio,542209,497565,44644,85246,4638,7426,6864,562,544,63,104.2,0.7
Oklahoma,228413,189237,39176,22414,5793,1930,1835,95,178,48,81.2,0.6
Oregon,91420,89700,1720,9983,2182,1138,1123,15,135,27,34,0.5
Pennsylvania,470034,432023,38011,71434,3670,12235,null,null,1122,95,79.7,1.3
Puerto Rico,61723,59292,2431,6191,1932,1266,1023,243,82,39,27.7,0.4
Palau,0,null,null,0,0,0,null,null,0,0,0,0
Rhode Island,70818,null,null,8681,6698,1509,null,null,96,142,117.3,1.3
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,245226,228261,16965,19213,4823,4673,4332,341,177,91,54,0.5
South Dakota,89672,null,null,5274,10164,1210,993,217,146,137,85.4,2.4
Tennessee,436262,397443,38819,43654,6444,5327,4787,540,451,78,92.1,1
Texas,1307878,null,null,79066,4557,23565,null,null,1310,82,39.4,0.7
Utah,228129,228129,0,18959,7217,1025,1007,18,100,32,85.7,0.5
Virginia,278615,241397,37218,27442,3271,4409,4005,404,212,51,46,0.4
Virgin Islands,1791,null,null,158,1711,23,null,null,0,21,21.6,0
Vermont,5541,null,null,778,885,93,null,null,16,14,17.8,0.4
Washington,195554,null,null,21264,2595,2879,null,null,120,38,40.3,0.2
Wisconsin,461367,429957,31410,29160,7936,4266,3991,275,424,73,71.7,1
West Virginia,60637,50804,9833,8465,3358,938,null,null,139,51,67,1.1
Wyoming,38785,33659,5126,3048,6713,321,321,0,64,55,75.4,1.6
United States of America,15718811,7401566,659898,1463370,4805,294535,164310,16652,16882,90,63.9,0.7
